AutoCtr,Order,OtherOrders,CommonAncestor
1123,Petromyzontiformes,Characiformes,500
1124,Petromyzontiformes,Gymnotiformes,500
1125,Petromyzontiformes,Siluriformes,500
1126,Petromyzontiformes,Lepidogalaxiiformes,500
1127,Petromyzontiformes,Esociformes,500
1128,Petromyzontiformes,Salmoniformes,500
1129,Petromyzontiformes,Argentiniformes,500
1130,Petromyzontiformes,Galaxiiformes,500
1131,Petromyzontiformes,Stomiiformes,500
1132,Petromyzontiformes,Osmeriformes,500
1133,Petromyzontiformes,Ateleopodiformes,500
1134,Petromyzontiformes,Aulopiformes,500
1135,Petromyzontiformes,Myctophiformes,500
1136,Petromyzontiformes,Polymixiiformes,500
1137,Petromyzontiformes,Percopsiformes,500
1138,Petromyzontiformes,Zeiformes,500
1139,Petromyzontiformes,Stylephoriformes,500
1140,Petromyzontiformes,Gadiformes,500
1141,Petromyzontiformes,Lampriformes,500
1142,Petromyzontiformes,Trachichthyiformes,500
1143,Petromyzontiformes,Beryciformes,500
1144,Petromyzontiformes,Holocentriformes,500
1145,Petromyzontiformes,Ophidiiformes,500
1146,Petromyzontiformes,Batrachoidiformes,500
1147,Petromyzontiformes,Kurtiformes,500
1148,Petromyzontiformes,Gobiiformes,500
1149,Petromyzontiformes,Scombriformes,500
1150,Petromyzontiformes,Syngnathiformes,500
1151,Petromyzontiformes,Dactylopteriformes,500
1152,Petromyzontiformes,Callionymiformes,500
1153,Petromyzontiformes,Mulliformes,500
1154,Petromyzontiformes,Synbranchiformes,500
1155,Petromyzontiformes,Anabantiformes,500
1156,Petromyzontiformes,Carangaria/misc,500
1157,Petromyzontiformes,Carangiformes,500
1158,Petromyzontiformes,Pleuronectiformes,500
1159,Petromyzontiformes,Mugiliformes,500
1160,Petromyzontiformes,Ovalentaria/misc,500
1161,Petromyzontiformes,Gobiesociformes,500
1162,Petromyzontiformes,Blenniiformes,500
1163,Petromyzontiformes,Cichliformes,500
1164,Petromyzontiformes,Beloniformes,500
1165,Petromyzontiformes,Atheriniformes,500
1166,Petromyzontiformes,Cyprinodontiformes,500
1167,Petromyzontiformes,Perciformes/Percoidei,500
1168,Petromyzontiformes,Perciformes/Zoarcoidei,500
1169,Petromyzontiformes,Perciformes/Bembropoidei,500
1170,Petromyzontiformes,Perciformes/Percophoidei,500
1171,Petromyzontiformes,Perciformes/Notothenioidei,500
1172,Petromyzontiformes,Perciformes/Uranoscopoidei,500
1173,Petromyzontiformes,Perciformes/Serranoidei,500
1174,Petromyzontiformes,Perciformes/Scorpaenoidei,500
1175,Petromyzontiformes,Perciformes/Gasterosteoidei,500
1176,Petromyzontiformes,Perciformes/Cottoidei,500
1177,Petromyzontiformes,Acropomatiformes,500
1178,Petromyzontiformes,Centrarchiformes,500
1179,Petromyzontiformes,Eupercaria/misc,500
